"id_artist","id_subgroup","startyear","endyear","roles"
4,29,2009,0,""
5,5621,2010,2010,""
8,1268,2013,2013,""
9,4390,2011,0,""
11,4924,2009,2011,""
11,7439,2009,0,""
12,40,2013,0,R
13,796,2015,2015,""
13,1412,2016,2016,""
13,1423,2021,2021,""
13,4401,2018,2018,""
13,4402,2020,2020,""
13,4403,2020,2020,""
13,6649,2014,0,""
13,6823,2014,0,""
15,65,2009,2016,R
15,161,2016,2016,""
15,1067,2018,0,""
15,8082,2016,2016,VR
18,4488,2017,2017,""
19,7737,2016,0,""
20,1242,2018,2018,""
23,1173,2018,0,""
23,7737,2016,0,""
24,4530,2017,2017,""
24,6331,2016,0,""
25,61,2011,0,V
25,115,2016,0,""
25,182,2017,0,""
25,192,2016,0,""
25,647,2018,0,""
25,955,2021,2021,""
25,1021,2021,0,""
25,1350,2021,2021,""
25,62,2016,0,VRD
25,373,2012,0,V
25,526,2019,0,VL
25,7372,2023,0,""
28,29,2009,0,""
28,8231,2010,0,""
30,6174,2012,0,""
33,1451,2022,0,VDL
33,3374,2022,2022,VL
33,5836,2007,0,""
33,5978,2023,0,""
33,7619,2016,0,""
36,1240,2021,2021,""
37,6917,2006,0,""
38,4611,2012,2012,""
38,7737,2016,0,""
40,7618,2021,0,""
40,7683,2022,0,""
41,1438,2014,2014,V
41,61,2011,0,V
41,42,2016,0,""
41,530,2016,2016,""
41,545,2017,0,""
41,1333,2017,2017,""
41,62,2016,0,VM
41,64,2012,2016,V
41,5383,2023,2023,""
41,8094,2020,0,""
43,16,2012,2017,VI
43,248,2013,2016,VI
43,6426,2023,0,""
44,4,2009,2017,RDL
47,6969,2014,0,""
49,1223,2020,2020,""
49,733,2016,0,VR
49,2913,2015,2015,""
49,7751,2016,0,""
53,116,2016,0,""
53,194,2011,2013,""
53,754,2009,2012,""
53,4446,2012,2012,""
53,4926,2022,2022,""
53,6118,2012,0,""
55,4302,2017,2017,""
56,7750,2020,0,""
58,59,2017,0,""
58,216,2016,2016,""
58,657,2017,0,""
58,7228,2017,0,""
58,8155,2024,0,""
61,497,2016,2016,""
66,99,2012,2012,VRD
68,28,2006,2023,VRL
68,73,2014,0,R
68,74,2010,0,R
68,4625,2011,2011,""
68,7382,2015,0,""
68,7383,2013,0,""
69,5593,2015,2015,""
70,37,2006,0,VDMF
70,6844,2016,0,""
70,7304,2017,0,""
71,131,2002,2017,V
71,72,2014,0,""
71,7660,1999,2002,""
76,7012,2019,2019,""
78,2909,2009,2009,""
78,5621,2010,2010,""
82,117,2007,2016,VD
83,1242,2018,2018,""
84,299,2016,0,""
84,7128,2021,0,""
84,191,2008,2018,VRm
84,1442,2012,2012,""
84,4706,2017,2017,""
88,174,2010,2017,VRDLF
88,89,2015,0,""
88,90,2014,0,""
88,91,2015,0,""
88,227,2017,2017,""
88,301,2017,0,""
88,833,2016,2016,""
88,1278,2021,2021,""
88,175,2011,2017,VRLF
88,4551,2015,2015,""
88,6807,2012,0,""
88,7311,2022,2022,""
92,7329,2015,0,""
92,7881,2024,0,""
93,7,2009,2016,R
93,250,2017,2018,VRL
93,205,2011,2014,VR
93,219,2007,2008,VRD
93,1313,2021,2023,VRD
93,159,2012,2012,""
93,6807,2012,0,""
96,5298,2020,2020,""
98,99,2012,2012,VL
98,100,2014,2014,""
98,101,2014,0,""
98,549,2010,0,""
98,5299,2022,2022,""
98,5743,2010,0,""
98,6311,2015,0,""
98,6723,2010,0,""
98,6822,2014,0,""
103,7,2009,2016,VR
103,6,2013,2016,V
103,1053,2019,0,VM
103,5855,2017,0,""
104,78,2007,2014,V
104,7322,0,0,""
105,16,2012,2020,VRIl
105,248,2013,2016,RIL
105,4531,2015,2015,R
106,241,2012,2018,V
106,1404,2018,2018,""
106,4773,2023,0,""
106,6046,2020,0,""
106,6525,2020,0,""
109,1438,2010,2014,V
109,172,2008,2017,V
110,4826,2020,2021,""
112,751,2020,0,""
112,4312,2012,2012,""
112,7379,2015,0,""
114,115,2016,0,""
114,116,2016,0,""
114,1247,2014,2014,""
114,4489,2013,2013,""
114,4938,2016,2016,""
114,6175,2013,0,""
119,81,2016,2020,VF
119,957,2017,2017,""
119,309,2018,2020,VF
119,94,2016,2017,V
119,6317,2017,0,""
119,7218,2018,0,""
120,121,2015,0,""
120,122,2015,0,""
120,301,2017,0,""
120,1336,2013,0,""
120,4425,2017,2017,""
120,7136,2016,0,""
120,7308,2015,2015,""
123,1438,2010,2010,V
123,189,2005,0,VM
123,696,2006,0,V
123,191,2008,0,VM
123,5600,2013,2013,""
123,6074,2023,0,""
123,6080,2023,0,""
124,32,2011,0,VR
126,6762,2017,2017,""
127,61,2011,0,VRD
127,1264,2019,2019,""
127,64,2012,2016,VD
127,7387,2024,0,""
128,85,2014,2014,""
128,5199,2020,2020,V
128,6046,2020,0,""
128,6738,2023,0,""
129,688,2020,0,L
129,659,2020,2020,V
129,935,1998,2005,VL
129,4649,2022,2022,""
129,5978,2023,0,""
130,5740,2010,0,""
130,6080,2023,0,""
133,4773,2023,0,""
133,1285,2014,2014,""
133,4234,2011,2013,V
133,5689,2014,0,""
133,6070,2012,0,""
133,6669,2023,0,""
134,887,2020,2020,""
134,5298,2020,2020,""
135,65,2009,2016,VD
135,161,2016,2016,""
135,801,2017,2017,""
135,1067,2018,0,""
135,2989,2013,0,""
135,4718,2016,2016,""
135,5599,2015,2015,""
135,5600,2013,2013,""
135,5601,2010,2010,""
135,6961,2022,0,""
136,336,2014,0,""
136,5838,2006,0,""
136,5839,2015,0,""
136,5840,2018,0,""
136,6283,2009,0,""
136,6752,2018,0,""
137,724,2016,2016,""
137,948,2013,0,""
137,1272,2021,0,""
137,7131,2019,0,""
137,2904,2015,0,""
137,4303,2015,2015,""
137,4401,2018,2018,""
137,4432,2019,2019,""
137,4478,2015,2015,""
137,4939,2016,2016,""
137,7006,2022,0,""
137,7876,2019,0,""
137,8070,2014,0,""
138,1246,2014,2014,""
138,1247,2014,2014,""
138,7620,2015,0,""
139,1438,2014,2014,V
139,207,2003,0,VRDM
139,2912,2014,2014,V
139,5197,2023,2023,""
141,77,2010,2019,V
141,6413,2023,0,""
141,8232,2014,0,""
143,1240,2021,2021,""
143,7684,2022,0,""
145,810,2017,2017,VL
145,9,2011,2016,V
145,2590,2022,0,VL
145,2591,2021,2021,VL
148,1264,2019,2019,""
149,1352,2018,2018,""
149,7247,2019,0,""
151,1237,2012,2012,""
152,1173,2018,0,""
152,6547,2016,0,""
152,7737,2016,0,""
152,7859,2020,0,""
152,8233,2018,0,""
153,1237,2012,2012,""
154,4,2009,2017,V
155,4645,2015,2015,""
155,7261,2024,0,""
158,159,2012,2012,""
158,160,2014,2014,""
166,189,2005,0,V
166,696,2006,0,V
166,191,2008,0,V
166,2989,2013,0,""
166,4518,2016,2016,""
167,997,2014,2016,""
167,2904,2015,0,""
167,4233,2022,0,""
167,4491,2022,2022,""
167,4551,2015,2015,""
169,78,2007,2017,VM
169,79,2012,2017,VM
169,223,2016,2016,""
170,28,2006,2019,VDm
171,796,2015,2015,""
171,1343,2017,2017,""
174,1112,2010,2010,""
174,7644,2016,2016,""
178,75,2012,0,""
178,174,2010,2017,V
178,179,2015,0,""
178,180,2014,2014,""
178,181,2015,2015,""
178,182,2017,0,""
178,278,2017,0,""
178,299,2016,0,""
178,300,2015,0,""
178,839,2021,2021,""
178,486,2019,0,""
178,948,2013,0,""
178,1466,2022,2022,""
178,2587,2022,2022,V
178,4314,2014,2014,""
178,7238,2019,0,""
178,7239,2019,0,""
178,7241,2016,0,""
178,7242,2017,0,""
178,7243,2018,0,""
178,7244,2018,0,""
183,1268,2013,2013,""
183,7246,2015,0,""
187,51,2011,2017,VM
187,5678,2016,0,""
187,7681,2021,0,""
187,7780,2024,2024,""
189,2909,2009,2009,""
189,4453,2005,2005,""
193,194,2011,2013,""
193,754,2009,2012,""
193,930,2012,2012,""
193,1268,2013,2013,""
193,748,2009,0,""
193,7245,2011,0,""
193,7246,2015,0,""
193,7296,2021,0,""
196,74,2010,0,VR
196,28,2006,2023,VR
197,57,2003,0,VRL
197,644,2014,0,""
197,5836,2007,0,""
197,6819,2023,0,""
197,7228,2017,0,""
197,8139,2016,0,""
198,172,2008,0,VM
198,1442,2012,2012,""
