"data","ranklist"
"2020-09-19","[[""40"",""BTS"",""Dynamite"",2,300],[""31"",""Blackpink"",""Ice Cream"",8,193],[""31"",""Blackpink"",""How You Like That"",33,168],[460,""ITZY"",""Not Shy"",124,77],[1015,""NiziU"",""Make You Happy"",192,9],[""40"",""BTS"",""Boy With Luv"",194,7]]"
"2020-09-26","[[""40"",""BTS"",""Dynamite"",2,300],[""31"",""Blackpink"",""Ice Cream"",13,188],[""31"",""Blackpink"",""How You Like That"",37,164],[1015,""NiziU"",""Make You Happy"",149,52],[460,""ITZY"",""Not Shy"",151,50],[""40"",""BTS"",""Boy With Luv"",179,22]]"
"2020-10-03","[[""40"",""BTS"",""Dynamite"",1,400],[""31"",""Blackpink"",""Ice Cream"",18,183],[""31"",""Blackpink"",""How You Like That"",41,160],[1015,""NiziU"",""Make You Happy"",129,72],[288,""Stray Kids"",""Back Door"",169,32],[610,""Treasure"",""I Love You"",170,31],[""40"",""BTS"",""Boy With Luv"",185,16],[460,""ITZY"",""Not Shy"",189,12]]"
"2020-10-10","[[""40"",""BTS"",""Dynamite"",2,300],[""31"",""Blackpink"",""Ice Cream"",22,179],[""31"",""Blackpink"",""How You Like That"",43,158],[""40"",""BTS"",""Boy With Luv"",171,30]]"
"2020-10-17","[[""31"",""Blackpink"",""Lovesick Girls"",2,300],[""40"",""BTS"",""Dynamite"",3,198],[""31"",""Blackpink"",""Ice Cream"",17,184],[""31"",""Blackpink"",""How You Like That"",24,177],[""31"",""Blackpink"",""Bet You Wanna"",25,176],[""31"",""Blackpink"",""Pretty Savage"",32,169],[""31"",""Blackpink"",""Crazy Over You"",49,152],[""31"",""Blackpink"",""Love To Hate Me"",54,147],[""31"",""Blackpink"",""You Never Know"",64,137],[""40"",""BTS"",""Boy With Luv"",176,25]]"
"2020-10-24","[[""40"",""BTS"",""Dynamite"",1,400],[""31"",""Blackpink"",""Lovesick Girls"",11,190],[""31"",""Blackpink"",""Ice Cream"",23,178],[""31"",""Blackpink"",""How You Like That"",35,166],[""31"",""Blackpink"",""Bet You Wanna"",69,132],[""31"",""Blackpink"",""Pretty Savage"",70,131],[""714"",""NCT"",""Make A Wish (Birthday Song)"",145,56],[""40"",""BTS"",""Boy With Luv"",162,39],[""31"",""Blackpink"",""Crazy Over You"",169,32],[""31"",""Blackpink"",""Love To Hate Me"",174,27]]"
"2020-10-31","[[""40"",""BTS"",""Dynamite"",1,400],[""31"",""Blackpink"",""Lovesick Girls"",20,181],[""31"",""Blackpink"",""Ice Cream"",26,175],[""31"",""Blackpink"",""How You Like That"",35,166],[""31"",""Blackpink"",""Pretty Savage"",90,111],[""31"",""Blackpink"",""Bet You Wanna"",118,83],[""714"",""NCT"",""Make A Wish (Birthday Song)"",128,73],[""40"",""BTS"",""Boy With Luv"",151,50],[""31"",""Blackpink"",""Ddu-du Ddu-du"",158,43],[""31"",""Blackpink"",""Kill This Love"",181,20]]"
"2020-11-07","[[""40"",""BTS"",""Dynamite"",2,300],[""31"",""Blackpink"",""Lovesick Girls"",28,173],[""208"",""Twice"",""I Can&#039;t Stop Me"",35,166],[""31"",""Blackpink"",""Ice Cream"",38,163],[""31"",""Blackpink"",""How You Like That"",45,156],[""31"",""Blackpink"",""Pretty Savage"",125,76],[""40"",""BTS"",""Boy With Luv"",162,39],[""31"",""Blackpink"",""Bet You Wanna"",186,15],[""31"",""Blackpink"",""Ddu-du Ddu-du"",191,10]]"
"2020-11-14","[[""40"",""BTS"",""Dynamite"",4,197],[""208"",""Twice"",""I Can&#039;t Stop Me"",31,170],[""31"",""Blackpink"",""Lovesick Girls"",47,154],[""31"",""Blackpink"",""Ice Cream"",52,149],[""31"",""Blackpink"",""How You Like That"",65,136],[""1012"",""K\/DA"",""More"",125,76],[""31"",""Blackpink"",""Pretty Savage"",179,22]]"
"2020-11-21","[[""40"",""BTS"",""Dynamite"",5,196],[""208"",""Twice"",""I Can&#039;t Stop Me"",33,168],[""31"",""Blackpink"",""Lovesick Girls"",48,153],[""31"",""Blackpink"",""Ice Cream"",59,142],[""31"",""Blackpink"",""How You Like That"",64,137],[""1012"",""K\/DA"",""More"",167,34]]"
