"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
1,n,"100%",백퍼센트,"","","","",61,male,n,0,2012,"2021",Perfection,1725,"2012-09-18",,n,114,103148,0,17014250,0,3,0,0,"{""W"":""www.100per.kr"",""T"":""TOP_100PERCENT"",""V"":""ED9233"",""I"":""100pergram"",""F"":""Official100percent"",""K"":""100%_(band)"",""A"":""100\/564095886"",""M"":""697486"",""N"":""백퍼센트"",""Y"":""UCji4MHZnUaijm2s3tpHOlJg""}",1
2,n,"24K+",투포케이플러스,"24K",투포케이,"","",60,male,n,0,2012,"","24U",1736,"2012-09-06",,n,114,10083,0,39978148,0,0,0,0,"{""T"":""24K__OFFICIAL"",""V"":""EA429D"",""I"":""24k__official"",""K"":""24K_(band)"",""A"":""24k\/682187896"",""F"":""CHOEUNENT.24K"",""Y"":""UCcVqOMZoLmcuR2_DgKX7bxw"",""U"":""choeunentofficial"",""S"":""5r6waWb7zJbYnwwdy08EPO"",""M"":""696519"",""N"":""24K"",""O"":""24kplus_official""}",0
3,n,"2AM",투에이엠,"","","","",642,male,n,0,2008,"",I Am,9969,"2008-06-21",,n,114,239440,10,51881165,0,198,4,7,"{""K"":""2AM_(band)"",""F"":""2amofficial"",""T"":""follow2am"",""A"":""2am\/14063144"",""M"":""253866"",""N"":""2AM"",""I"":""voice_2am""}",2
4,n,"2NE1",투애니원,"","","","",3,female,n,0,2009,"2017-01",Blackjack,903,"2009-05-06",,n,114,681461,43,1712795049,2,332,11,24,"{""K"":""2NE1"",""F"":""2NE1"",""T"":""ygladies"",""I"":""2ne1xxi"",""D"":""2NE1"",""A"":""2ne1\/329155759"",""M"":""406712"",""N"":""2NE1"",""Y"":""UCnsQjCVzmEd-YvlQZbo6zCg""}",2
5,n,"2PM",투피엠,"","","","",14,male,n,0,2008,"",Hottest,2638,"2008-07-04",,n,114,896568,41,538889977,0,134,2,11,"{""W"":""2pm.jype.com"",""T"":""follow_2pm"",""F"":""2pm.jype"",""V"":""EF7F"",""I"":""real_2pmstagram"",""A"":""2pm\/183292586"",""K"":""2PM"",""M"":""259822"",""N"":""2PM"",""Y"":""UCBpzJvEhkemwMOkYLq9yUsA""}",2
6,n,"2YOON",투윤,"","","","",6,female,n,7,2013,"2016-06","",1172,"2013-01-16",,n,114,5895,0,2944653,0,9,0,0,"{""M"":""715898"",""N"":""2YOON""}",0
7,n,"4Minute",포미닛,"","","","",6,female,n,0,2009,"2016-06","4nia",15046,"2009-06-15",,n,114,205088,23,803583022,0,162,2,7,"{""K"":""4Minute"",""F"":""4minute.unitedcube"",""W"":""4min.co.kr"",""I"":""4minute4nia_"",""A"":""4minute\/371898647"",""M"":""417985"",""N"":""4minute"",""Y"":""UC_Dm4o5UrbPr2uvM7VPUR6g"",""S"":""6cdC1cwqh3eJAXaxXJt2jv""}",2
8,n,F-ve dolls,파이브돌스,"","","","5dolls; Five Dolls",4,female,n,868,2011,"2014-11",DOLLY,0,"2011-01-20",,n,114,2384,0,7855466,0,4,0,0,"{""K"":""F-ve_Dolls"",""D"":""f-ve-dolls"",""M"":""520160"",""A"":""f-ve-dolls\/660176572"",""S"":""1nw5g6u9BIPwyqlsm01cDP"",""N"":""파이브돌스"",""T"":""ccm_fvedolls""}",0
9,n,"9Muses",나인뮤지스,"","","",Namyu,15,female,n,0,2010,"2019-02",MINE,875,"2010-08-12",,n,114,55301,0,111463402,0,63,0,0,"{""W"":""9muses.co.kr"",""T"":""9muses_"",""F"":""9musesofficial"",""K"":""Nine_Muses_(band)"",""V"":""E962B9"",""I"":""official_ninemuses"",""A"":""9muses\/404135177"",""U"":""NineMusesCh"",""S"":""55tJwpPIz9BMrSLM45iEXX"",""Y"":""UCJ_sOiMLKpEH39gESJCPmlw"",""M"":""465680"",""N"":""ub098uc778ubba4uc9",1
10,n,"9Muses A",나인뮤지스A,"","","",Namyu A;9Muses Amuse,15,female,n,9,2016,"2019-02",MINE,1694,"2016-08-03",,n,114,8484,0,4388350,0,2,0,0,"{""A"":""9muses\/404135177"",""M"":""465680"",""N"":""ub098uc778ubba4uc9c0uc2a4A""}",0
