"id","id_artist","rdate","rtype","name"
1180,854,"2024-11-26",ep,Like A Flower
1161,6441,"2024-11-27",album,WISHFUL (jp)
1162,123,"2024-11-27",album,COLORS
1181,171,"2024-11-27",single,Expiration Date (jp)
1182,1033,"2024-11-27",album,Archive 1: [Road Runner
1186,607,"2024-11-29",single,Winter Ahead
1187,1430,"2024-11-29",single,""
1188,1446,"2024-12-04",ep,STARDUST (cn)
1189,616,"2024-12-05",single,FIND THE ORBIT
1126,208,"2024-12-06",ep,Strategy
1146,872,"2024-12-06",album,rosie
1190,5924,"2024-12-09",ep,STAY TUNED
1163,765,"2024-12-09",single,""
1164,2703,"2024-12-11",single,CRAZY (jp)
1165,1507,"2024-12-11",ep,BUBBLE GUM (jp)
1191,288,"2024-12-13",album,HOP
1166,270,"2024-12-18",ep,D.W.B.H (jp)
1167,6441,"2024-12-25",album,WISHFUL (jp)
1192,5769,"2025-01-29",ep,PREZENT (jp)
