date,Artist,Song/Album Title,Peak Position,Weeks on Chart,year,generation,debut_years
2009-04-04,BoA,BoA[6],127,1,2009,1,1996 - 2004
2012-03-17,Big Bang,Alive[7][8],150,1,2012,2,2005 - 2011
2012-05-12,Girls' Generation-TTS,Twinkle[9][10],126,1,2012,2,2005 - 2011
2012-09-29,G-Dragon,One of a Kind[8],161,1,2012,2,2005 - 2011
2013-09-21,G-Dragon,Coup d'Etat Pt.1[8],182,1,2013,2,2005 - 2011
2014-03-15,2NE1,Crush[10][11],61,1,2014,2,2005 - 2011
2014-03-15,Girls' Generation,Mr.Mr.[10],110,1,2014,2,2005 - 2011
2014-05-24,Exo-K,Overdose[12],129,1,2014,3,2012 - 2017
2014-06-21,Taeyang,Rise[7],112,1,2014,2,2005 - 2011
2015-04-18,Exo,Exodus[12],95,1,2015,3,2012 - 2017
2015-12-19,BTS,"The Most Beautiful Moment In Life, Part 2[13][14]",171,1,2015,3,2012 - 2017
2016-05-21,BTS,The Most Beautiful Moment In Life: Young Forever[14],107,1,2016,3,2012 - 2017
2016-10-29,BTS,Wings[15],26,2,2016,3,2012 - 2017
2016-12-31,Big Bang,Made[8][16],172,1,2016,2,2005 - 2011
2017-03-04,BTS,You Never Walk Alone[17],61,2,2017,3,2012 - 2017
2017-06-24,G-Dragon,Kwon Ji Yong[8],192,1,2017,2,2005 - 2011
2017-08-05,Exo,The War[18],87,1,2017,3,2012 - 2017
2017-10-07,BTS,Love Yourself: Her[19],7,7,2017,3,2012 - 2017
2018-02-03,Jonghyun,Poet ｜ Artist[20],177,1,2018,2,2005 - 2011
2018-03-10,J-Hope,Hope World[21][22],38,2,2018,3,2012 - 2017
2018-04-14,BTS,Face Yourself[23][24][25],43,1,2018,3,2012 - 2017
2018-06-02,BTS,Love Yourself: Tear[26][27],1,15,2018,3,2012 - 2017
2018-06-30,Blackpink,Square Up[29],40,1,2018,3,2012 - 2017
2018-09-08,BTS,Love Yourself: Answer[30],1,31,2018,3,2012 - 2017
2018-10-27,NCT 127,Regular-Irregular[31][32],86,1,2018,3,2012 - 2017
2018-11-03,RM,mono.[22],26,1,2018,3,2012 - 2017
2018-11-17,Exo,Don't Mess Up My Tempo[33],23,2,2018,3,2012 - 2017
2019-03-16,TXT,The Dream Chapter: Star[34],140,1,2019,4,2018 - 2022
2019-04-20,Blackpink,Kill This Love[35],24,4,2019,3,2012 - 2017
2019-04-27,BTS,Map of the Soul: Persona[36],1,22,2019,3,2012 - 2017
2019-06-08,NCT 127,We Are Superhuman[37][32],11,1,2019,3,2012 - 2017
2019-07-13,BTS,BTS World: Original Soundtrack[38],26,1,2019,3,2012 - 2017
2019-10-19,SuperM,SuperM[39],1,9,2019,3,2012 - 2017
2019-12-14,Exo,Obsession[40],182,2,2019,3,2012 - 2017
2020-02-29,Monsta X,All About Luv[41],5,2,2020,3,2012 - 2017
2020-03-07,BTS,Map of the Soul: 7[34][42][43],1,82,2020,3,2012 - 2017
2020-03-21,NCT 127,Neo Zone[44][32],5,4,2020,3,2012 - 2017
2020-06-06,Agust D,D-2[45],11,1,2020,3,2012 - 2017
2020-06-13,Twice,More & More[46][47],200,1,2020,3,2012 - 2017
2020-07-25,BTS,Map of the Soul: 7 - The Journey[25][48],14,1,2020,3,2012 - 2017
2020-10-10,SuperM,Super One[49],2,4,2020,3,2012 - 2017
2020-10-17,Blackpink,The Album[50][51][32],2,26,2020,3,2012 - 2017
