date,Artist,Song/Album Title,Peak Position,Weeks on Chart,year,generation,debut_years
2015-12-19,BTS,"The Most Beautiful Moment In Life, Part 2[13][14]",171,1,2015,3,2012 - 2017
2016-05-21,BTS,The Most Beautiful Moment In Life: Young Forever[14],107,1,2016,3,2012 - 2017
2016-10-29,BTS,Wings[15],26,2,2016,3,2012 - 2017
2017-03-04,BTS,You Never Walk Alone[17],61,2,2017,3,2012 - 2017
2017-10-07,BTS,Love Yourself: Her[19],7,7,2017,3,2012 - 2017
2018-04-14,BTS,Face Yourself[23][24][25],43,1,2018,3,2012 - 2017
2018-06-02,BTS,Love Yourself: Tear[26][27],1,15,2018,3,2012 - 2017
2018-09-08,BTS,Love Yourself: Answer[30],1,31,2018,3,2012 - 2017
2019-04-27,BTS,Map of the Soul: Persona[36],1,22,2019,3,2012 - 2017
2019-07-13,BTS,BTS World: Original Soundtrack[38],26,1,2019,3,2012 - 2017
2020-03-07,BTS,Map of the Soul: 7[34][42][43],1,82,2020,3,2012 - 2017
2020-07-25,BTS,Map of the Soul: 7 - The Journey[25][48],14,1,2020,3,2012 - 2017
2020-10-31,BTS,Skool Luv Affair[52],12,2,2020,3,2012 - 2017
2020-12-05,BTS,Be[55][56][57],1,37,2020,3,2012 - 2017
2021-08-21,BTS,"BTS, the Best[25]",19,2,2021,3,2012 - 2017
2022-06-25,BTS,Proof,1,41,2022,3,2012 - 2017
