,Artist,num,generation
0,(G)I-dle,4,4
1,2NE1,1,2
2,Aespa,6,4
3,Agust D,2,3
4,Ateez,7,4
5,BTS,16,3
6,Babymonster,1,5
7,Big Bang,2,2
8,Blackpink,4,3
9,BoA,1,1
10,BoyNextDoor,3,5
11,DPR Ian,1,3
12,Enhypen,7,4
13,Exo,4,3
14,Exo-K,1,3
15,G-Dragon,3,2
16,Girls' Generation,1,2
17,Girls' Generation-TTS,1,2
18,Illit,2,5
19,Itzy,7,4
20,J-Hope,3,3
21,Jackson Wang,1,2
22,Jihyo,1,3
23,Jimin,2,3
24,Jonghyun,1,2
25,Jungkook,1,3
26,Kep1er,1,4
27,Le Sserafim,4,4
28,Loona,1,3
29,Monsta X,2,3
30,NCT,3,3
31,NCT 127,8,3
32,NCT Dream,2,3
33,Nayeon,2,3
34,NewJeans,1,4
35,Nmixx,2,4
36,P1Harmony,3,4
37,RM,3,3
38,Red Velvet,1,3
39,Seventeen,8,3
40,Stray Kids,5,4
41,SuperM,2,3
42,TXT,11,4
43,Taeyang,1,2
44,The Rose,1,3
45,Twice,7,3
46,V,1,3
47,Xikers,2,5
